status,universal_id,internal_id,internal_name,internal_team,hkb_id,hkb_name,hkb_team,notes
MATCHED,0000483,65876,Elian Pena,NYM,jywav4vY,Elian Pena,NYM,Existing registry mapping
MATCHED,0000484,66446,Yorger Bautista,SEA,7Mjhn2pd,Yorger Bautista,SEA,Existing registry mapping
MATCHED,0000485,65887,Mitch Voit,NYM,d6Ia8JR2,Mitch Voit,NYM,Existing registry mapping
MATCHED,0000486,8652,Martin Perez,ATL,fQtmup31,Martín Pérez,ATL,Existing registry mapping
MATCHED,0000487,9124,Zack Wheeler,PHI,uIYRTMph,Zack Wheeler,PHI,Existing registry mapping
MATCHED,0000488,9459,Sonny Gray,BOS,NRl_lDmG,Sonny Gray,BOS,Existing registry mapping
MATCHED,0000489,11117,Ranger Suarez,BOS,dFhAAVNn,Ranger Suárez,BOS,Existing registry mapping
MATCHED,0000491,11453,Rico Garcia,BAL,AK9p185T,Rico Garcia,BAL,Existing registry mapping
MATCHED,0000494,64992,Bradgley Rodriguez,SD,3knQnh2C,Bradgley Rodriguez,SD,Existing registry mapping
MATCHED,0000495,10901,Dennis Santana,PIT,uODlY6Fq,Dennis Santana,PIT,Existing registry mapping
MATCHED,0000496,60427,Kumar Rocker,TEX,QLYxVmaJ,Kumar Rocker,TEX,Existing registry mapping
MATCHED,0000497,60071,JR Ritchie,ATL,5_97kvao,J.R. Ritchie,ATL,Existing registry mapping
MATCHED,0000499,10986,Tim Hill,NYY,UxCJjWN8,Tim Hill,NYY,Existing registry mapping
MATCHED,0000500,66156,Anthony Nunez,BAL,uQsc4CrW,Anthony Nunez,BAL,Existing registry mapping
MATCHED,0000501,10047,Shawn Armstrong,CLE,t2uFf8P1,Shawn Armstrong,CLE,Existing registry mapping
MATCHED,0000490,63484,Kai-Wei Teng,HOU,jVmbzavK,Kai-Wei Teng,HOU,Existing registry mapping
MATCHED,0000493,10850,Jalen Beeks,TEX,aGUjkY-9,Jalen Beeks,TEX,Existing registry mapping
MATCHED,0000492,10494,Jakob Junis,TEX,DW-VwVL5,Jakob Junis,TEX,Existing registry mapping
MATCHED,0000502,10548,A.J. Puk,AZ,LjHUikSo,A.J. Puk,AZ,Existing registry mapping
MATCHED,0000498,11689,Luis Gil,NYY,XmVpkWup,Luis Gil,NYY,Existing registry mapping
MATCHED,0000503,64351,Ben Hess,NYY,jGY7Ljjt,Ben Hess,NYY,Existing registry mapping
MATCHED,0000504,62946,Cade Kuehler,ATL,NO4S1zyQ,Cade Kuehler,ATL,Existing registry mapping
MATCHED,0000505,65788,Marcus Phillips,BOS,ZsVLleTp,Marcus Phillips,BOS,Existing registry mapping
MATCHED,0000506,11728,Shea Langeliers,ATH,kwiK9k8W,Shea Langeliers,ATH,Existing registry mapping
MATCHED,0000515,11886,Ezequiel Duran,TEX,lwPhAaCY,Ezequiel Duran,TEX,Existing registry mapping
MATCHED,0000508,60580,Cole Young,SEA,BB_tsmXY,Cole Young,SEA,Existing registry mapping
MATCHED,0000522,66369,Munetaka Murakami,CWS,n3i4Ro0W,Munetaka Murakami,CWS,Existing registry mapping
MATCHED,0000510,60214,Zach Neto,LAA,ZjWKeL7k,Zach Neto,LAA,Existing registry mapping
MATCHED,0000509,10868,Willi Castro,COL,XCrY1COW,Willi Castro,COL,Existing registry mapping
MATCHED,0000513,12148,Andy Pages,LAD,ImoLyQ8z,Andy Pages,LAD,Existing registry mapping
MATCHED,0000514,11529,Noelvi Marte,CIN,FIwciqBI,Noelvi Marte,CIN,Existing registry mapping
MATCHED,0000516,10899,Keibert Ruiz,WSH,k04_3nwx,Keibert Ruiz,WSH,Existing registry mapping
MATCHED,0000512,62971,Dylan Crews,WSH,KARXS4CS,Dylan Crews,WSH,Existing registry mapping
MATCHED,0000518,12470,Joe Mack,MIA,cCywVzIT,Joe Mack,MIA,Existing registry mapping
MATCHED,0000511,11118,Jeff McNeil,ATH,g19CJhz-,Jeff McNeil,ATH,Existing registry mapping
